 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
310,,0.001,0.755,0.053,5.605,3.912,70.017,0.036,1.296,0.772,0.883
638,Min,0.001,0.105,0.053,0.295,0.159,3.122,0.035,1.028,0.255,0.369
408,,0.001,0.686,0.057,5.024,4.72,61.39,0.035,1.629,0.614,0.819
5,,0.002,0.887,0.061,2.95,0.703,131.987,0.039,1.6,0.625,0.914
538,,0.001,0.547,0.061,4.261,5.886,167.005,0.044,1.225,0.817,0.69
217,,0.001,0.311,0.062,7.102,3.299,72.897,0.048,1.23,0.813,0.534
181,,0.002,0.447,0.064,5.31,3.059,98.13,0.054,1.183,0.845,0.675
637,SD,0.007,0.198,0.068,1.708,1.517,49.865,0.035,0.507,0.161,0.095
189,,0.002,0.581,0.073,5.795,3.127,21.801,0.039,1.989,0.503,0.761
349,,0.002,0.336,0.074,5.419,4.234,47.49,0.054,1.458,0.686,0.637
488,,0.004,0.745,0.087,7.724,5.274,27.897,0.065,1.299,0.77,0.834
562,,0.004,0.783,0.087,5.242,6.136,27.897,0.08,1.07,0.934,0.871
228,,0.003,0.112,0.093,7.084,3.349,168.69,0.064,1.294,0.773,0.569
125,,0.004,0.626,0.094,7.57,2.75,50.906,0.072,1.248,0.801,0.758
357,,0.005,0.843,0.094,4.92,4.28,165.964,0.074,1.255,0.797,0.893
403,,0.004,0.568,0.094,7.706,4.688,67.166,0.068,1.176,0.85,0.833
191,,0.005,0.855,0.096,7.638,3.141,8.13,0.075,1.215,0.823,0.911
534,,0.005,0.838,0.096,4.665,5.891,31.43,0.077,1.28,0.781,0.878
62,,0.004,0.537,0.098,6.122,2.133,103.392,0.062,1.581,0.633,0.84
416,,0.005,0.872,0.098,5.074,4.77,21.801,0.072,1.289,0.776,0.937
610,,0.006,0.851,0.098,4.33,6.885,56.31,0.09,1.044,0.958,0.925
42,,0.005,0.826,0.099,2.864,2.015,74.055,0.077,1.239,0.807,0.909
60,,0.005,0.825,0.099,2.569,2.183,15.945,0.065,1.539,0.65,0.919
365,,0.005,0.855,0.099,6.635,4.343,164.055,0.072,1.354,0.738,0.892
31,,0.005,0.696,0.1,5.274,1.924,50.528,0.08,1.228,0.814,0.871
168,,0.006,0.847,0.1,3.408,3.068,71.565,0.084,1.098,0.911,0.922
